iso-datetime,DAYTIME,CLOUDINESS,GHI,DAYTIME_4,DAYTIME_12,DAYTIME_24,CLEARSKY_GHI_24,CLEARSKY_GHI_12,CLEARSKY_GHI_4,CLEARSKY_GHI_0,CLEARSKY_GHI_-4,CLEARSKY_GHI_-12,CLEARSKY_GHI_-24,AZIMUTH_24,AZIMUTH_12,AZIMUTH_4,AZIMUTH_0,AZIMUTH_-4,AZIMUTH_-12,AZIMUTH_-24,LAT,LONG,ALT,GHI_4,GHI_12,GHI_24,station,MASK,MASK_4,MASK_12,MASK_24
2010-04-15 21:45:00,1.0,clear,477.54000000000286,1.0,0.0,0.0,748.0307572355297,862.1044679103878,647.8593689995154,471.4597125373445,267.88363339619474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,212.53333333333612,-4.286666666663848,-5.7999999999971825,BND,1,1,0,0
2010-04-15 22:00:00,1.0,clear,380.9466666666696,1.0,0.0,0.0,777.3089886296691,847.3258633348318,607.2669031969806,422.3413147958332,215.52922678586557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,223.79333333333616,-5.8866666666638485,-5.533333333330515,BND,1,1,0,0
2010-04-15 22:15:00,1.0,variable,304.57333333333617,1.0,0.0,0.0,803.2664068120716,828.9068692591742,564.1830259338107,371.7865713763699,163.86631961568293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,166.0066666666695,-5.9266666666638494,-5.573333333330513,BND,1,1,0,0
2010-04-15 22:30:00,1.0,slightly cloudy,198.8533333333361,1.0,0.0,0.0,825.7827702834542,806.932160172626,518.8317150847331,320.1555210620045,114.07700837366765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,153.22666666666953,-5.62666666666385,-5.493333333330516,BND,1,1,0,0
2010-04-15 22:45:00,1.0,clear,212.53333333333612,1.0,0.0,0.0,844.7545636898669,781.5032276781116,471.4597125373445,267.88363339619474,68.17049024902829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,103.24666666666948,-5.219999999997186,-5.43333333333052,BND,1,1,0,0
2010-04-15 23:00:00,1.0,slightly cloudy,223.79333333333616,1.0,0.0,0.0,860.0950942349152,752.738272005262,422.3413147958332,215.52922678586557,29.863939893546267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,47.28666666666949,-5.413333333330518,-5.726666666663849,BND,1,1,0,0
2010-04-15 23:15:00,1.0,variable,166.0066666666695,1.0,0.0,0.0,871.7346115015985,720.7721445242402,371.7865713763699,163.86631961568293,5.82551346867799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,20.92000000000282,-6.053333333330515,-5.773333333330516,BND,1,1,0,0
2010-04-15 23:30:00,1.0,slightly cloudy,153.22666666666953,1.0,0.0,0.0,879.6204300036302,685.7563737016527,320.1555210620045,114.07700837366765,0.012506491261535075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,2.7933333333361516,-6.219999999997183,-5.759999999997182,BND,1,1,0,0
2010-04-15 23:45:00,1.0,slightly cloudy,103.24666666666948,0.0,0.0,0.0,883.7170264538764,647.8593689995154,267.88363339619474,68.17049024902829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,-4.286666666663848,-6.05999999999718,-5.679999999997183,BND,1,0,0,0
2010-04-16 00:00:00,1.0,slightly cloudy,47.28666666666949,0.0,0.0,0.0,884.0061117439602,607.2669031969806,215.52922678586557,29.863939893546267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,-5.8866666666638485,-5.9599999999971836,-5.46666666666385,BND,1,0,0,0
